title,link,watched
Урок 111. Задачи на закон сохранения момента импульса (ч.1),https://www.youtube.com/watch?v=_zr16Phd9Sk&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=114,Yes
Урок 112. Задачи на закон сохранения момента импульса (ч.2),https://www.youtube.com/watch?v=5z4cf-ZTG_I&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=115,Yes
Урок 113. Векторное описание вращательного движения. Гироскопический эффект.,https://www.youtube.com/watch?v=dJEAFOwOXSk&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=116,Yes
Урок 114. Работа. Теорема о кинетической энергии,https://www.youtube.com/watch?v=rPVKb_leXus&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=117,Yes
Урок 115. Работа переменной силы. Решение задач,https://www.youtube.com/watch?v=kRH0v9_wT-M&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=118,Yes
"Урок 116. Работа силы тяжести. Потенциальная энергия тела, поднятого над Землей",https://www.youtube.com/watch?v=aggu45cT8vI&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=119,Yes
Урок 117. Задачи на вычисление работы,https://www.youtube.com/watch?v=nTDiyo8fxQQ&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=120,Yes
Урок 118. Потенциальная энергия гравитационного взаимодействия. Вторая космическая скорость,https://www.youtube.com/watch?v=0C9Ksk7bX9s&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=121,Yes
"Урок 119. Подготовка к СР ""Работа. Теорема о кинетической энергии""",https://www.youtube.com/watch?v=L-YoH8-smK4&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=122,Yes
Урок 120. Работа силы упругости.,https://www.youtube.com/watch?v=j1z_LnFKRvg&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=123,Yes
Урок 121. Задачи на работу силы упругости,https://www.youtube.com/watch?v=tcQTw53s5DE&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=124,Yes
Урок 122. Закон сохранения полной механической энергии,https://www.youtube.com/watch?v=dPS3_jE3u2k&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=125,Yes
Урок 123. Закон сохранения и превращения энергии. КПД. Мощность,https://www.youtube.com/watch?v=pkbCHu7zoJk&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=126,Yes
"Урок 124. Связь мощности, силы и скорости",https://www.youtube.com/watch?v=7QFnF4GWTH4&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=127,Yes
"Урок 125. Работа, мощность и кинетическая энергия при вращательном движении",https://www.youtube.com/watch?v=RULuvEZehEk&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=128,Yes
Урок 126. Задачи на закон сохранения энергии (ч.1),https://www.youtube.com/watch?v=IfFSAuGnhKs&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=129,Yes
Урок 127. Задачи на закон сохранения энергии (ч.2),https://www.youtube.com/watch?v=f3CAdlAH7Ag&list=PL1Us50cZo25m2FDcpykgjCCZQ3SFAsG3y&index=130,Yes
